<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-41865.000,27322.975,-41865.089985,27323.087537,-61.386719,0,3,9,1,-,1,Hor 50nm,CD Meas,270.0,84,95,-,-,-,1,0,,-41865.000,27323.000,Y,90.000000,1,SPACE-Y,48.730,48.730,50.000,,2,0,,-41865.000,27322.975,Y,90.000000,2,PICHR-Y,99.638,99.638,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0001.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.700548:49.481025,-50.157167:49.481025,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:26
0,1,-41862.000,27322.975,-41862.089985,27323.087537,-61.386719,0,3,9,2,-,2,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41862.000,27323.000,Y,90.000000,1,SPACE-Y,48.851,48.851,50.000,,2,0,,-41862.000,27322.975,Y,90.000000,2,PICHR-Y,99.751,99.751,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0002.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.766664:49.668139,-50.082624:49.668139,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:29
0,1,-41859.000,27322.975,-41859.089985,27323.087537,-61.386719,0,3,9,3,-,3,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41859.000,27323.000,Y,90.000000,1,SPACE-Y,48.783,48.783,50.000,,2,0,,-41859.000,27322.975,Y,90.000000,2,PICHR-Y,100.256,100.256,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0003.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.852473:49.685021,-50.570673:49.685021,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:32
0,1,-41856.000,27322.975,-41856.089985,27323.087537,-61.386719,0,3,9,4,-,4,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-41856.000,27323.000,Y,90.000000,1,SPACE-Y,48.850,48.850,50.000,,2,0,,-41856.000,27322.975,Y,90.000000,2,PICHR-Y,100.216,100.216,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0004.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.521895:49.421937,-50.794302:49.421937,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:34
0,1,-41853.000,27322.975,-41853.089985,27323.087537,-61.386719,0,3,9,5,-,5,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-41853.000,27323.000,Y,90.000000,1,SPACE-Y,48.439,48.439,50.000,,2,0,,-41853.000,27322.975,Y,90.000000,2,PICHR-Y,99.947,99.947,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0005.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.329175:48.818393,-51.129044:48.818393,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:37
0,1,-41850.000,27322.975,-41850.089985,27323.087537,-61.386719,0,3,9,6,-,6,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41850.000,27323.000,Y,90.000000,1,SPACE-Y,48.920,48.920,50.000,,2,0,,-41850.000,27322.975,Y,90.000000,2,PICHR-Y,99.953,99.953,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0006.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.400911:48.569378,-51.383616:48.569378,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:40
0,1,-41847.000,27322.975,-41847.089985,27323.087537,-61.386719,0,3,9,7,-,7,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-41847.000,27323.000,Y,90.000000,1,SPACE-Y,49.002,49.002,50.000,,2,0,,-41847.000,27322.975,Y,90.000000,2,PICHR-Y,99.790,99.790,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0007.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.457179:48.594702,-51.195149:48.594702,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:42
0,1,-41844.000,27322.975,-41844.089985,27323.087537,-61.386719,0,3,9,8,-,8,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41844.000,27323.000,Y,90.000000,1,SPACE-Y,49.487,49.487,50.000,,2,0,,-41844.000,27322.975,Y,90.000000,2,PICHR-Y,99.941,99.941,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0008.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.125200:49.662511,-50.278125:49.662511,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:45
0,1,-41865.000,27325.975,-41865.089985,27326.087537,-61.386719,0,3,9,9,-,9,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41865.000,27326.000,Y,90.000000,1,SPACE-Y,49.023,49.023,50.000,,2,0,,-41865.000,27325.975,Y,90.000000,2,PICHR-Y,100.317,100.317,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0009.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.741336:48.331619,-51.985587:48.331619,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:49
0,1,-41862.000,27325.975,-41862.089985,27326.087537,-61.386719,0,3,9,10,-,10,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-41862.000,27326.000,Y,90.000000,1,SPACE-Y,49.017,49.017,50.000,,2,0,,-41862.000,27325.975,Y,90.000000,2,PICHR-Y,100.001,100.001,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0010.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.921395:48.145913,-51.854785:48.145913,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:51
0,1,-41859.000,27325.975,-41859.089985,27326.087537,-61.386719,0,3,9,11,-,11,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41859.000,27326.000,Y,90.000000,1,SPACE-Y,49.102,49.102,50.000,,2,0,,-41859.000,27325.975,Y,90.000000,2,PICHR-Y,100.361,100.361,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0011.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.310881:48.840902,-51.520045:48.840902,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:54
0,1,-41856.000,27325.975,-41856.089985,27326.087537,-61.386719,0,3,9,12,-,12,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41856.000,27326.000,Y,90.000000,1,SPACE-Y,48.784,48.784,50.000,,2,0,,-41856.000,27325.975,Y,90.000000,2,PICHR-Y,99.996,99.996,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0012.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.654119:48.179678,-51.816810:48.179678,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:57
0,1,-41853.000,27325.975,-41853.089985,27326.087537,-61.386719,0,3,9,13,-,13,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-41853.000,27326.000,Y,90.000000,1,SPACE-Y,48.871,48.871,50.000,,2,0,,-41853.000,27325.975,Y,90.000000,2,PICHR-Y,100.096,100.096,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0013.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.159129:47.761841,-52.334391:47.761841,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:27:59
0,1,-41850.000,27325.975,-41850.089985,27326.087537,-61.386719,0,3,9,14,-,14,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-41850.000,27326.000,Y,90.000000,1,SPACE-Y,48.817,48.817,50.000,,2,0,,-41850.000,27325.975,Y,90.000000,2,PICHR-Y,100.000,100.000,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_3-9\CD_mean_V01_3-9.000.A00003009S0014.bmp,CD_mean_V01_3-9.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.506588:47.360886,-52.639595:47.360886,BE1200:1200eV:-30.158pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/24/2023,23:28:02
